frame,cx,cy
0,495.0,158.5
1,495.0,160.5
2,494.0,163.5
3,493.5,164.5
4,492.5,166.5
5,491.5,168.5
6,490.0,170.0
7,489.5,170.5
8,488.0,173.0
9,488.0,173.0
10,487.5,174.5
11,486.5,175.5
12,486.5,176.5
13,486.5,177.5
14,486.5,178.5
15,486.5,178.5
16,487.5,178.0
17,486.5,179.5
18,487.5,179.5
19,486.5,179.5
20,487.5,179.5
21,487.5,179.5
22,487.5,179.5
23,487.5,179.5
24,488.5,179.5
25,487.5,180.5
26,487.5,179.5
27,487.5,179.5
28,487.5,179.5
29,487.5,180.5
30,488.5,179.5
31,489.5,179.5
32,489.0,181.0
33,489.0,180.0
34,489.5,179.5
35,490.0,180.0
36,490.0,179.0
37,490.0,179.0
38,490.0,178.0
39,490.0,178.0
40,490.0,178.0
41,490.0,178.0
42,491.0,179.0
43,491.0,179.0
44,491.0,179.0
45,491.0,179.0
46,491.0,180.0
47,492.0,181.0
48,492.0,181.0
49,492.0,182.0
50,492.0,182.0
51,492.0,183.0
52,492.0,183.0
53,492.0,183.0
54,492.0,184.0
55,492.0,184.0
56,492.0,185.0
57,492.0,185.0
58,492.0,186.0
59,492.0,186.0
60,491.0,186.0
61,492.0,186.0
62,491.0,186.0
63,491.0,186.0
64,491.0,186.0
65,491.0,186.0
66,490.0,186.0
67,490.0,187.0
68,489.0,187.0
69,489.0,187.0
70,489.0,187.0
71,489.0,187.0
72,488.0,187.0
73,488.0,187.0
74,487.0,188.0
75,486.0,188.0
76,485.0,190.0
77,484.0,191.0
78,483.0,193.0
79,482.0,195.0
80,481.0,198.0
81,480.0,202.0
82,480.0,206.0
83,478.5,212.5
84,479.0,219.0
85,477.5,226.5
86,477.5,232.5
87,476.5,241.5
88,475.5,248.5
89,474.5,255.5
90,474.5,264.0
91,473.5,273.0
92,472.5,280.0
93,471.5,290.5
94,470.5,299.5
95,470.5,307.5
96,469.5,316.5
97,468.5,325.5
98,467.5,335.5
99,466.5,344.5
100,466.5,354.0
101,464.5,363.0
102,463.5,371.0
103,461.5,381.0
104,460.0,389.5
105,459.0,398.5
106,457.5,407.0
107,457.0,417.5
108,456.5,424.0
109,454.0,433.5
110,455.5,444.0
111,453.0,450.5
112,455.0,461.5
113,453.0,470.5
114,453.0,478.0
115,451.0,486.0
116,450.5,493.5
117,449.5,502.5
118,448.5,511.5
119,448.5,518.0
120,447.5,526.0
121,447.5,534.0
122,447.5,541.0
123,446.5,549.0
124,446.5,555.0
125,446.5,560.0
126,446.5,565.0
127,446.5,568.0
128,447.5,571.0
129,446.5,572.0
130,448.5,569.0
131,447.5,565.0
132,447.5,559.0
133,447.5,551.0
134,446.5,542.0
135,446.5,533.0
136,447.5,524.0
137,446.5,514.0
138,446.5,505.0
139,449.5,496.5
140,450.5,487.5
141,450.5,478.5
142,451.5,468.5
143,454.5,459.5
144,454.5,450.5
145,456.5,442.5
146,458.5,434.5
147,459.5,423.5
148,461.5,416.5
149,463.5,405.5
150,465.5,397.5
151,469.0,389.0
152,470.0,379.0
153,472.0,369.0
154,474.0,358.0
155,476.0,347.0
156,478.0,335.0
157,479.0,324.0
158,481.0,311.0
159,482.0,296.5
160,484.0,282.5
161,486.0,266.5
162,487.0,251.5
163,488.5,234.0
164,490.0,217.5
165,492.5,204.0
166,494.5,190.5
167,496.5,182.5
168,497.5,176.5
169,498.0,173.0
170,498.0,172.0
171,499.0,173.0
172,499.0,175.0
173,499.5,177.5
174,500.0,179.0
175,499.5,179.5
176,500.5,178.5
177,500.5,177.5
178,499.5,176.5
179,499.5,176.5
180,500.5,176.5
181,500.5,176.5
182,501.5,177.5
183,500.5,177.5
184,501.5,177.5
185,500.5,178.5
186,500.5,178.5
187,501.5,178.5
188,500.5,178.5
189,500.5,179.5
190,500.5,179.5
191,500.5,181.5
192,499.5,181.5
193,498.5,182.5
194,497.5,184.5
195,497.5,186.5
196,496.5,187.5
197,495.5,189.5
198,494.5,192.5
199,494.5,195.5
200,493.5,201.5
201,492.5,206.5
202,491.5,214.5
203,490.5,222.5
204,489.5,231.5
205,488.5,241.5
206,487.5,251.5
207,486.5,262.5
208,485.5,273.5
209,484.5,285.5
210,482.5,297.5
211,480.5,309.5
212,479.5,322.5
213,477.5,334.5
214,474.5,347.5
215,472.5,361.5
216,470.5,373.0
217,469.5,386.0
